java-runtime-common 3-3.1
jbig2dec 0.19-1
jemalloc 1:5.2.1-6
jfsutils 1.1.15-7.1
jo 1.4-1
john 1.9.0.jumbo1-6
jq 1.6-4
jre8-openjdk 8.332.u04-1
jre8-openjdk-headless 8.332.u04-1
js78 78.15.0-3
json-c 0.15-3
json-glib 1.6.6-1
jsoncpp 1.9.5-1
karchive 5.92.0-1
kauth 5.92.0-1
kbd 2.4.0-2
kbookmarks 5.92.0-1
kcodecs 5.92.0-1
kcompletion 5.92.0-1
kconfig 5.92.0-1
kconfigwidgets 5.92.0-1
kcoreaddons 5.92.0-1
kcrash 5.92.0-1
kdbusaddons 5.92.0-1
kded 5.92.0-1
keepassxc 2.6.6-1.1
kexec-tools 2.0.23-1
keyutils 1.6.3-1
kglobalaccel 5.92.0-1
kguiaddons 5.92.0-1
ki18n 5.92.0-1
kiconthemes 5.92.0-1
kio 5.92.0-1
kitemmodels 5.92.0-1
kitemviews 5.92.0-1
kitty 0.24.4-1
kitty-shell-integration 0.24.4-1
kitty-terminfo 0.24.4-1
kjobwidgets 5.92.0-1
kmod 29-2
knotifications 5.92.0-1
krb5 1.19.2-2
krita 5.0.2-3
kservice 5.92.0-1
ktextwidgets 5.92.0-1
kwallet 5.92.0-1
kwidgetsaddons 5.92.0-1
kwindowsystem 5.92.0-1
kxmlgui 5.92.0-1
l-smash 2.14.5-2.1
lame 3.100-3.1
lapack 3.10.0-1
lcms2 2.13.1-1
ldb 2:2.4.2-1
ldns 1.8.1-1
lensfun 1:0.3.3-1
less 1:590-1
lib2geom 1.1-2
lib32-acl 2.3.1-1
lib32-alsa-lib 1.2.6.1-1
lib32-alsa-plugins 1.2.6-1
lib32-attr 2.5.1-1
lib32-brotli 1.0.9-4
lib32-bzip2 1.0.8-2
lib32-curl 7.82.0-1
lib32-dbus 1.14.0-1
lib32-e2fsprogs 1.46.5-1
lib32-elogind 246.10-2
lib32-expat 2.4.7-1
lib32-gcc-libs 11.2.0-4
lib32-glibc 2.35-2
lib32-icu 70.1-1
lib32-keyutils 1.6.3-1
lib32-krb5 1.19.2-2
lib32-libcap 2.63-1
lib32-libdrm 2.4.109-1
lib32-libelf 0.186-3
lib32-libffi 3.4.2-3.1
lib32-libgcrypt 1.9.4-1
lib32-libglvnd 1.4.0-1
lib32-libgpg-error 1.44-1
lib32-libidn2 2.3.2-1
lib32-libldap 2.6.1-1
lib32-libpciaccess 0.16-1
lib32-libpsl 0.21.1-2
lib32-libssh2 1.10.0-1
lib32-libtasn1 4.18.0-1
lib32-libtirpc 1.3.2-2
lib32-libunistring 0.9.10-1
lib32-libunwind 1.6.2-1
lib32-libx11 1.7.3.1-1
lib32-libxau 1.0.9-1
lib32-libxcb 1.14-1
lib32-libxcrypt 4.4.28-1
lib32-libxdamage 1.1.5-1
lib32-libxdmcp 1.1.3-1
lib32-libxext 1.3.4-1
lib32-libxfixes 6.0.0-1
lib32-libxml2 2.9.12-2
lib32-libxshmfence 1.3-2
lib32-libxss 1.2.3-1
lib32-libxxf86vm 1.1.4-2
lib32-llvm-libs 13.0.1-1
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-1
lib32-mesa 21.3.7-2
lib32-ncurses 6.3-1
lib32-nspr 4.33-1
lib32-nss 3.76-1
lib32-nvidia-utils 510.54-1
lib32-openssl 1:1.1.1.n-1.1
lib32-p11-kit 0.24.1-1
lib32-pam 1.5.2-1
lib32-readline 8.1.002-1
lib32-sqlite 3.38.1-1
lib32-udev 250-1
lib32-vulkan-icd-loader 1.3.207-1
lib32-vulkan-radeon 21.3.7-2
lib32-wayland 1.20.0-1
lib32-xz 5.2.5-2
lib32-zlib 1.2.11-3
lib32-zstd 1.5.2-1
libaio 0.3.112-2.1
libappindicator-gtk3 12.10.0.r296-1
libarchive 3.6.0-1
libass 0.15.2-2
libassuan 2.5.5-1
libasyncns 0.8+3+g68cd5af-3.1
libatasmart 0.19-5.1
libavc1394 0.5.4-4.1
libavif 0.9.3-1
libblockdev 2.26-3
libbluray 1.3.0-2
libbpf 0.7.0-1
libbs2b 3.1.0-7.2
libbsd 0.11.5-1
libburn 1.5.4-1
libbytesize 2.6-3
libcaca 0.99.beta20-1
libcacard 2.7.0-2.1
libcanberra 0.30+2+gc0620e4-5
libcap 2.63-2
libcap-ng 0.8.2-7
libcddb 1.3.2-6.1
libcdio 2.1.0-2.1
libcdio-paranoia 10.2+2.0.1-2.1
libcdr 0.1.7-3
libcloudproviders 0.3.1-2
libcolord 1.4.6-1
libcroco 0.6.13-2.1
libcups 1:2.4.1-1
libdaemon 0.14-5.1
libdatrie 0.2.13-1
libdazzle 3.42.0.1-1
libdbusmenu-glib 16.04.0-4.1
libdbusmenu-gtk3 16.04.0-4.1
libdbusmenu-qt5 0.9.3+16.04.20160218-6
libdc1394 2.2.6-2.1
libdca 0.0.7-1.1
libde265 1.0.8-2
libdiscid 0.6.2-3
libdrm 2.4.110-1
libdv 1.0.0-9.1
libdvbpsi 1:1.3.3-2.1
libdvdnav 6.1.1-1
libdvdread 6.1.2-1
libebml 1.4.2-2
libedit 20210910_3.1-1
libelf 0.186-5
libelogind 246.10-5
libepoxy 1.5.9-1
libev 4.33-1.1
libevdev 1.12.0-1
libevent 2.1.12-1
libexif 0.6.24-1
libffi 3.4.2-4
libfontenc 1.1.4-3
libftdi 1.5-4
libgcrypt 1.9.4-1
libgdiplus 5.6.1-3.1
libgee 0.20.5-1
libgexiv2 0.14.0-3
libgit2 1:1.4.2-1
libglvnd 1.4.0-1
libgnomekbd 3.26.1+2+g8d02ebd-2.1
libgovirt 0.3.8-1
libgpg-error 1.44-1
libgphoto2 2.5.29-1
libgtop 2.40.0+2+g31db82ef-2.1
libgudev 237-1
libgusb 0.3.10-2
libgxps 0.3.2-1
libhandy 1.4.0-1
libheif 1.12.0-3
libibus 1.5.25-5
libical 3.0.14-1
libice 1.0.10-3.1
libid3tag 0.15.1b-11.1
libidn 1.38-1
libidn2 2.3.2-1
libiec61883 1.2.0-6.1
libieee1284 0.2.11-13
libimagequant 2.17.0-3
libimobiledevice 1.3.0-5
libindicator-gtk3 12.10.1-9.1
libinih 53-2
libinput 1.20.0-1
libisl 0.24-4
libisoburn 1.5.4-2
libisofs 1.5.4-1
libjpeg-turbo 2.1.3-1
libjpeg6-turbo 1.5.3-2
libkeybinder3 0.3.2-3.1
libksba 1.6.0-1
libldap 2.6.1-1
liblouis 3.21.0-1
liblqr 0.4.2-3.1
libluv 1.43.0_0-1
libmad 0.15.1b-9.1
libmanette 0.2.6-2
libmatroska 1.6.3-2
libmbim 1.26.2-1
libmd 1.0.4-1
libmfx 22.1.0-1
libmicrohttpd 0.9.75-1
libmm-glib 1.18.6-1
libmng 2.0.3-3.1
libmnl 1.0.4-3.1
libmodplug 0.8.9.0-3.1
libmpc 1.2.1-2
libmpcdec 1:0.1+r475-3.1
libmpd 11.8.17-5.1
libmpeg2 0.5.1-7.1
libmtp 1.1.19-1
libmypaint 1.6.1-1
libndp 1.8-1
libnet 1:1.1.6-1.1
libnetfilter_conntrack 1.0.8-1.1
libnewt 0.52.21-8
libnfnetlink 1.0.1-4
libnfs 5.0.1-2
libnftnl 1.2.1-1
libnghttp2 1.47.0-1
libnl 3.5.0-3
libnm 1.36.2-1
libnotify 0.7.9-2
libnsl 2.0.0-2
libogg 1.3.5-1
libomxil-bellagio 0.9.3-3.1
libopenraw 0.3.0-1
libosinfo 1.10.0-1
libotr 4.1.1-3.1
libp11-kit 0.24.1-1
libpamac-aur 11.2.0-0
libpaper 1.1.28-1.1
libpcap 1.10.1-2
